aclnn_api,torch_npu,torch_npu_via_ops,mindspore,mindspore_pyboost,mindspore_kbk,mindspore_via_ops
aclnnDistributeBarrier,✅,_npu_distribute_barrier,✖️,✖️,✖️,
aclnnDistributeBarrierV2,✅,_npu_distribute_barrier,✖️,✖️,✖️,
aclnnDiv,✅,div.Scalar;div.Scalar_mode;div.Tensor;div.Tensor_mode;div.out;div.out_mode,✅,✅,✅,Div;RealDiv
aclnnDivMod,✅,div.Scalar;div.Scalar_mode;div.Tensor;div.Tensor_mode;div.out;div.out_mode,✅,✅,✅,DivMod;Divmod
aclnnDivMods,✅,div.Scalar;div.Scalar_mode;div.Tensor;div.Tensor_mode;div.out;div.out_mode,✅,✅,✅,DivMods;Divmods
aclnnDivs,✅,div.Scalar;div.Scalar_mode;div.Tensor;div.Tensor_mode;div.out;div.out_mode,✅,✅,✅,Divs
aclnnDot,✅,dot;dot.out;vdot;vdot.out,✅,✅,✅,Dot
aclnnDropout,✖️,,✅,✖️,✅,DropoutExt
aclnnDropoutBackward,✖️,,✖️,✖️,✖️,
aclnnDropoutDoMask,✅,_npu_dropout;native_dropout;native_dropout_backward;npu_dropout_backward,✅,✅,✅,DropoutDoMaskExt;DropoutExt;DropoutGradExt
aclnnDropoutGenMask,✅,npu_dropout_gen_mask,✖️,✖️,✖️,
aclnnDropoutGenMaskV2,✅,_npu_dropout;_npu_dropout_gen_mask.Tensor;native_dropout,✅,✅,✅,DropoutExt;DropoutGenMaskExt
aclnnDropoutGenMaskV2Tensor,✅,_npu_dropout,✖️,✖️,✖️,
aclnnDynamicBlockQuant,✅,npu_dynamic_block_quant,✅,✅,✖️,DynamicBlockQuant
aclnnDynamicQuant,✅,,✖️,✖️,✖️,
aclnnDynamicQuantV2,✅,npu_dynamic_quant;npu_dynamic_quant_asymmetric,✖️,✖️,✖️,
aclnnEinsum,✖️,,✖️,✖️,✖️,
aclnnElu,✅,elu;elu.out,✅,✅,✅,EluExt
aclnnEluBackward,✅,elu_backward;elu_backward.grad_input,✅,✅,✅,EluGradExt
aclnnEmbedding,✅,,✅,✅,✅,Embedding
aclnnEmbeddingBag,✅,_embedding_bag;_embedding_bag_forward_only,✖️,✖️,✖️,
aclnnEmbeddingDenseBackward,✅,embedding_dense_backward,✅,✅,✅,EmbeddingDenseBackward
aclnnEmbeddingRenorm,✅,embedding_renorm_,✅,✅,✅,Embedding
aclnnEqScalar,✅,eq.Scalar;eq.Scalar_out;eq.Tensor;eq.Tensor_out,✅,✅,✅,EqScalar;IsInf;Isinf
aclnnEqTensor,✅,eq.Scalar;eq.Scalar_out;eq.Tensor;eq.Tensor_out,✅,✅,✅,Equal
aclnnEqual,✅,equal,✅,✅,✅,EqualExt
aclnnErf,✅,erf;erf.out,✅,✅,✅,Erf
aclnnErfc,✅,erfc;erfc.out,✅,✅,✅,Erfc
aclnnErfinv,✅,erfinv;erfinv.out,✅,✅,✅,Erfinv
aclnnExp,✅,exp;exp.out,✅,✅,✅,Exp
aclnnExp2,✅,exp2;exp2.out,✅,✅,✅,Exp2
aclnnExpSegsum,✖️,,✖️,✖️,✖️,
aclnnExpSegsumBackward,✖️,,✖️,✖️,✖️,
aclnnExpand,✖️,,✅,✖️,✅,BroadcastTo;ExpandAs;L1LossBackwardExt;L1LossExt;MSELossExt;MSELossGradExt
aclnnExpandIntoJaggedPermute,✖️,,✖️,✖️,✖️,
aclnnExpm1,✅,expm1;expm1.out,✅,✅,✅,Expm1
aclnnEye,✅,eye;eye.m;eye.m_out;eye.out,✅,✅,✅,Eye
aclnnFFN,✖️,,✅,✅,✅,FFNExt;FfnExt
aclnnFFNV2,✅,npu_ffn,✖️,✖️,✖️,
aclnnFFNV3,✖️,,✖️,✖️,✖️,
aclnnFakeQuantPerChannelAffineCachemask,✅,fake_quantize_per_channel_affine_cachemask,✖️,✖️,✖️,
aclnnFakeQuantPerTensorAffineCachemask,✅,_fake_quantize_per_tensor_affine_cachemask_tensor_qparams,✖️,✖️,✖️,
aclnnFastBatchNormBackward,✖️,,✖️,✖️,✖️,
aclnnFastGelu,✅,npu_fast_gelu,✖️,✖️,✖️,
aclnnFastGeluBackward,✅,npu_fast_gelu_backward,✖️,✖️,✖️,
aclnnFatreluMul,✖️,,✖️,✖️,✖️,
aclnnFinalize,✖️,,✖️,✖️,✖️,
aclnnFlashAttentionScore,✖️,,✅,✅,✅,FlashAttentionScore
aclnnFlashAttentionScoreGrad,✖️,,✅,✅,✅,FlashAttentionScoreGrad
aclnnFlashAttentionScoreGradV2,✖️,,✅,✅,✖️,SpeedFusionAttentionGrad
aclnnFlashAttentionScoreGradV3,✖️,,✖️,✖️,✖️,
aclnnFlashAttentionScoreV2,✖️,,✅,✅,✖️,SpeedFusionAttention
aclnnFlashAttentionScoreV3,✖️,,✖️,✖️,✖️,
aclnnFlashAttentionUnpaddingScoreGrad,✖️,,✅,✅,✖️,FlashAttentionScoreGrad
aclnnFlashAttentionUnpaddingScoreGradV2,✖️,,✅,✅,✖️,SpeedFusionAttentionGrad
aclnnFlashAttentionUnpaddingScoreGradV3,✖️,,✖️,✖️,✖️,
aclnnFlashAttentionUnpaddingScoreGradV4,✖️,,✖️,✖️,✖️,
aclnnFlashAttentionUnpaddingScoreGradV5,✖️,,✖️,✖️,✖️,
aclnnFlashAttentionVarLenScore,✖️,,✅,✅,✖️,FlashAttentionScore
aclnnFlashAttentionVarLenScoreV2,✖️,,✅,✅,✖️,SpeedFusionAttention
aclnnFlashAttentionVarLenScoreV3,✖️,,✖️,✖️,✖️,
aclnnFlashAttentionVarLenScoreV4,✖️,,✖️,✖️,✖️,
aclnnFlashAttentionVarLenScoreV5,✖️,,✖️,✖️,✖️,
aclnnFlatQuant,✅,npu_kronecker_quant,✖️,✖️,✖️,
aclnnFlatten,✖️,,✖️,✖️,✖️,
aclnnFlip,✅,flip,✅,✅,✅,ReverseV2
aclnnFloor,✅,floor;floor.out,✅,✅,✅,Floor
aclnnFloorDivide,✅,floor_divide;floor_divide.Scalar;floor_divide.out,✅,✅,✅,FloorDiv
aclnnFloorDivides,✅,floor_divide;floor_divide.Scalar;floor_divide.out,✅,✅,✅,FloorDivScalar
aclnnFmodScalar,✅,fmod.Scalar;fmod.Scalar_out;fmod.Tensor;fmod.Tensor_out,✅,✅,✅,FmodScalar
aclnnFmodTensor,✅,fmod.Scalar;fmod.Scalar_out;fmod.Tensor;fmod.Tensor_out,✅,✅,✅,FmodTensor
aclnnForeachAbs,✅,_foreach_abs;_foreach_abs_,✖️,✖️,✖️,
aclnnForeachAcos,✅,_foreach_acos;_foreach_acos_,✖️,✖️,✖️,
aclnnForeachAddList,✅,,✖️,✖️,✖️,
aclnnForeachAddListV2,✅,_foreach_add.List;_foreach_add.Scalar;_foreach_add.ScalarList;_foreach_add_.List;_foreach_add_.Scalar;_foreach_add_.ScalarList,✖️,✖️,✖️,
aclnnForeachAddScalar,✅,,✖️,✖️,✖️,
aclnnForeachAddScalarList,✅,_foreach_add.List;_foreach_add.Scalar;_foreach_add.ScalarList;_foreach_add_.List;_foreach_add_.Scalar;_foreach_add_.ScalarList,✖️,✖️,✖️,
aclnnForeachAddScalarV2,✅,_foreach_add.List;_foreach_add.Scalar;_foreach_add.ScalarList;_foreach_add_.List;_foreach_add_.Scalar;_foreach_add_.ScalarList,✖️,✖️,✖️,
aclnnForeachAddcdivList,✖️,,✖️,✖️,✖️,
aclnnForeachAddcdivScalar,✅,,✖️,✖️,✖️,
aclnnForeachAddcdivScalarList,✅,,✖️,✖️,✖️,
aclnnForeachAddcdivScalarV2,✅,_foreach_addcdiv.Scalar;_foreach_addcdiv.ScalarList;_foreach_addcdiv.Tensor;_foreach_addcdiv_.Scalar;_foreach_addcdiv_.ScalarList;_foreach_addcdiv_.Tensor,✖️,✖️,✖️,
aclnnForeachAddcmulList,✖️,,✖️,✖️,✖️,
aclnnForeachAddcmulScalar,✅,,✖️,✖️,✖️,
aclnnForeachAddcmulScalarList,✅,,✖️,✖️,✖️,
aclnnForeachAddcmulScalarV2,✅,_foreach_addcmul.Scalar;_foreach_addcmul.ScalarList;_foreach_addcmul.Tensor;_foreach_addcmul_.Scalar;_foreach_addcmul_.ScalarList;_foreach_addcmul_.Tensor,✖️,✖️,✖️,
aclnnForeachAsin,✅,_foreach_asin;_foreach_asin_,✖️,✖️,✖️,
aclnnForeachAtan,✅,_foreach_atan;_foreach_atan_,✖️,✖️,✖️,
aclnnForeachCopy,✅,_foreach_copy_,✖️,✖️,✖️,
aclnnForeachCos,✅,_foreach_cos;_foreach_cos_,✖️,✖️,✖️,
aclnnForeachCosh,✅,_foreach_cosh;_foreach_cosh_,✖️,✖️,✖️,
aclnnForeachDivList,✅,_foreach_div.List;_foreach_div.Scalar;_foreach_div.ScalarList;_foreach_div_.List;_foreach_div_.Scalar;_foreach_div_.ScalarList,✖️,✖️,✖️,
aclnnForeachDivScalar,✅,,✖️,✖️,✖️,
aclnnForeachDivScalarList,✅,_foreach_div.List;_foreach_div.Scalar;_foreach_div.ScalarList;_foreach_div_.List;_foreach_div_.Scalar;_foreach_div_.ScalarList,✖️,✖️,✖️,
aclnnForeachDivScalarV2,✅,_foreach_div.List;_foreach_div.Scalar;_foreach_div.ScalarList;_foreach_div_.List;_foreach_div_.Scalar;_foreach_div_.ScalarList,✖️,✖️,✖️,
aclnnForeachErf,✅,_foreach_erf;_foreach_erf_,✖️,✖️,✖️,
aclnnForeachErfc,✅,_foreach_erfc;_foreach_erfc_,✖️,✖️,✖️,
aclnnForeachExp,✅,_foreach_exp;_foreach_exp_,✖️,✖️,✖️,
aclnnForeachExpm1,✅,_foreach_expm1;_foreach_expm1_,✖️,✖️,✖️,
aclnnForeachLerpList,✅,_foreach_lerp.List;_foreach_lerp.Scalar;_foreach_lerp_.List;_foreach_lerp_.Scalar,✖️,✖️,✖️,
aclnnForeachLerpScalar,✅,_foreach_lerp.List;_foreach_lerp.Scalar;_foreach_lerp_.List;_foreach_lerp_.Scalar,✖️,✖️,✖️,
aclnnForeachLog,✅,_foreach_log;_foreach_log_,✖️,✖️,✖️,
aclnnForeachLog10,✅,_foreach_log10;_foreach_log10_,✖️,✖️,✖️,
aclnnForeachLog1p,✅,_foreach_log1p;_foreach_log1p_,✖️,✖️,✖️,
aclnnForeachLog2,✅,_foreach_log2;_foreach_log2_,✖️,✖️,✖️,
aclnnForeachMaximumList,✅,_foreach_maximum.List;_foreach_maximum.Scalar;_foreach_maximum.ScalarList;_foreach_maximum_.List;_foreach_maximum_.Scalar;_foreach_maximum_.ScalarList,✖️,✖️,✖️,
aclnnForeachMaximumScalar,✅,,✖️,✖️,✖️,
aclnnForeachMaximumScalarList,✅,_foreach_maximum.List;_foreach_maximum.Scalar;_foreach_maximum.ScalarList;_foreach_maximum_.List;_foreach_maximum_.Scalar;_foreach_maximum_.ScalarList,✖️,✖️,✖️,
aclnnForeachMaximumScalarV2,✅,_foreach_maximum.List;_foreach_maximum.Scalar;_foreach_maximum.ScalarList;_foreach_maximum_.List;_foreach_maximum_.Scalar;_foreach_maximum_.ScalarList,✖️,✖️,✖️,
aclnnForeachMinimumList,✅,_foreach_minimum.List;_foreach_minimum.Scalar;_foreach_minimum.ScalarList;_foreach_minimum_.List;_foreach_minimum_.Scalar;_foreach_minimum_.ScalarList,✖️,✖️,✖️,
aclnnForeachMinimumScalar,✅,,✖️,✖️,✖️,
aclnnForeachMinimumScalarList,✅,_foreach_minimum.List;_foreach_minimum.Scalar;_foreach_minimum.ScalarList;_foreach_minimum_.List;_foreach_minimum_.Scalar;_foreach_minimum_.ScalarList,✖️,✖️,✖️,
aclnnForeachMinimumScalarV2,✅,_foreach_minimum.List;_foreach_minimum.Scalar;_foreach_minimum.ScalarList;_foreach_minimum_.List;_foreach_minimum_.Scalar;_foreach_minimum_.ScalarList,✖️,✖️,✖️,
aclnnForeachMulList,✅,_foreach_mul.List;_foreach_mul.Scalar;_foreach_mul.ScalarList;_foreach_mul_.List;_foreach_mul_.Scalar;_foreach_mul_.ScalarList,✖️,✖️,✖️,
aclnnForeachMulScalar,✅,,✖️,✖️,✖️,
aclnnForeachMulScalarList,✅,_foreach_mul.List;_foreach_mul.Scalar;_foreach_mul.ScalarList;_foreach_mul_.List;_foreach_mul_.Scalar;_foreach_mul_.ScalarList,✖️,✖️,✖️,
aclnnForeachMulScalarV2,✅,_foreach_mul.List;_foreach_mul.Scalar;_foreach_mul.ScalarList;_foreach_mul_.List;_foreach_mul_.Scalar;_foreach_mul_.ScalarList,✖️,✖️,✖️,
aclnnForeachNeg,✅,_foreach_neg;_foreach_neg_,✖️,✖️,✖️,
aclnnForeachNonFiniteCheckAndUnscale,✅,,✖️,✖️,✖️,
aclnnForeachNorm,✅,_foreach_norm.Scalar,✖️,✖️,✖️,
aclnnForeachPowList,✅,_foreach_pow.List;_foreach_pow.Scalar;_foreach_pow.ScalarAndTensor;_foreach_pow.ScalarList;_foreach_pow_.List;_foreach_pow_.Scalar;_foreach_pow_.ScalarList,✖️,✖️,✖️,
