tag,aclnn_api,torch_npu_status,evidence,via_op_names,via_op_names_yaml_exec,via_op_names_src_scan,via_cpp_funcs,cpp_files,op_api_versions,direct_match_ops,suspected_fusion,remarks
all,aclnnAdaptiveMaxPool3d,已接入,src_scan,adaptive_max_pool3d;adaptive_max_pool3d.out,,adaptive_max_pool3d;adaptive_max_pool3d.out,adaptive_max_pool3d;adaptive_max_pool3d_out,../op-plugin/op_plugin/ops/opapi/AdaptiveMaxPool3dKernelNpuOpApi.cpp,all_version,adaptive_max_pool3d;adaptive_max_pool3d.out,False,shared_by_2_ops;src_only
all,aclnnAdaptiveMaxPool3dBackward,已接入,src_scan,adaptive_max_pool3d_backward;adaptive_max_pool3d_backward.grad_input,,adaptive_max_pool3d_backward;adaptive_max_pool3d_backward.grad_input,adaptive_max_pool3d_backward;adaptive_max_pool3d_backward_out,../op-plugin/op_plugin/ops/opapi/AdaptiveMaxPool3dBackwardKernelNpuOpApi.cpp,all_version,adaptive_max_pool3d_backward;adaptive_max_pool3d_backward.grad_input,False,shared_by_2_ops;src_only
all,aclnnAdd,已接入,src_scan,add.Scalar;add.Tensor;add.out,,add.Scalar;add.Tensor;add.out,add;add_out;add_out_npu_nocheck,../op-plugin/op_plugin/ops/opapi/AddKernelNpuOpApi.cpp,all_version,add.Scalar;add.Tensor;add.out,False,shared_by_3_ops;src_only
all,aclnnAddLayerNorm,已接入,src_scan,npu_add_layer_norm,,npu_add_layer_norm,npu_add_layer_norm,../op-plugin/op_plugin/ops/opapi/AddLayerNormKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAddLayerNormGrad,已接入,src_scan,npu_add_layer_norm_backward,,npu_add_layer_norm_backward,npu_add_layer_norm_backward,../op-plugin/op_plugin/ops/opapi/AddLayerNormBackwardKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAddLora,已接入,src_scan,npu_batch_gather_matmul;npu_batch_gather_matmul_,,npu_batch_gather_matmul;npu_batch_gather_matmul_,npu_batch_gather_matmul;npu_batch_gather_matmul_,../op-plugin/op_plugin/ops/opapi/BatchGatherMatmulKernelNpuOpApi.cpp,all_version,,True,shared_by_2_ops;src_only
all,aclnnAddRelu,已接入,yaml_exec,_add_relu.Tensor;_add_relu.out,_add_relu.Tensor;_add_relu.out,,,,all_version,_add_relu.Tensor;_add_relu.out,False,shared_by_2_ops;yaml_only
all,aclnnAddRmsNorm,已接入,yaml_exec,npu_add_rms_norm,npu_add_rms_norm,,,,all_version,,True,yaml_only
all,aclnnAddRmsNormCast,已接入,yaml_exec,npu_add_rms_norm_cast,npu_add_rms_norm_cast,,,,all_version,,True,yaml_only
all,aclnnAddRmsNormDynamicQuant,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnAddRmsNormDynamicQuantV2,已接入,yaml_exec,npu_add_rms_norm_dynamic_quant,npu_add_rms_norm_dynamic_quant,,,,all_version,,True,yaml_only
all,aclnnAddRmsNormQuant,已接入,src_scan,npu_add_rms_norm_quant,,npu_add_rms_norm_quant,npu_add_rms_norm_quant,../op-plugin/op_plugin/ops/opapi/AddRmsNormQuantKernelOpApi.cpp,all_version,,True,src_only
all,aclnnAddRmsNormQuantV2,已接入,src_scan,npu_add_rms_norm_quant,,npu_add_rms_norm_quant,npu_add_rms_norm_quant,../op-plugin/op_plugin/ops/opapi/AddRmsNormQuantKernelOpApi.cpp,all_version,,True,src_only
all,aclnnAddbmm,已接入,src_scan,addbmm;addbmm.out;addbmm_,,addbmm;addbmm.out;addbmm_,addbmm;addbmm_;addbmm_out,../op-plugin/op_plugin/ops/opapi/AddbmmKernelNpuOpApi.cpp,all_version,addbmm;addbmm.out,False,shared_by_3_ops;src_only
all,aclnnAddcdiv,已接入,src_scan,addcdiv;addcdiv.out,,addcdiv;addcdiv.out,addcdiv;addcdiv_out,../op-plugin/op_plugin/ops/opapi/AddcdivKernelNpuOpApi.cpp,all_version,addcdiv;addcdiv.out,False,shared_by_2_ops;src_only
all,aclnnAddcmul,已接入,src_scan,addcmul;addcmul.out,,addcmul;addcmul.out,addcmul;addcmul_out,../op-plugin/op_plugin/ops/opapi/AddcmulKernelNpuOpApi.cpp,all_version,addcmul;addcmul.out,False,shared_by_2_ops;src_only
all,aclnnAddmm,已接入,src_scan,addmm;addmm.out;npu_linear,,addmm;addmm.out;npu_linear,addmm;addmm_out;npu_linear,../op-plugin/op_plugin/ops/opapi/AddmmKernelNpuOpApi.cpp;../op-plugin/op_plugin/ops/opapi/LinearKernelNpuOpApi.cpp,all_version,addmm;addmm.out,False,shared_by_3_ops;src_only
all,aclnnAddmmWeightNz,已接入,src_scan,addmm;addmm.out,,addmm;addmm.out,addmm;addmm_out,../op-plugin/op_plugin/ops/opapi/AddmmKernelNpuOpApi.cpp,all_version,,True,shared_by_2_ops;src_only
all,aclnnAddmv,已接入,src_scan,addmv;addmv.out;addmv_,,addmv;addmv.out;addmv_,addmv;addmv_;addmv_out;addmv_out_op_api,../op-plugin/op_plugin/ops/opapi/AddmvKernelNpuOpApi.cpp,all_version,addmv;addmv.out,False,shared_by_3_ops;src_only
all,aclnnAddr,已接入,yaml_exec,addr;addr.out,addr;addr.out,,,,all_version,addr;addr.out,False,shared_by_2_ops;yaml_only
all,aclnnAdds,已接入,src_scan,add.Scalar;add.Tensor;add.out,,add.Scalar;add.Tensor;add.out,add;add_out;add_out_npu_nocheck,../op-plugin/op_plugin/ops/opapi/AddKernelNpuOpApi.cpp,all_version,,True,shared_by_3_ops;src_only
all,aclnnAdvanceStep,已接入,src_scan,npu_advance_step_flashattn,,npu_advance_step_flashattn,npu_advance_step_flashattn,../op-plugin/op_plugin/ops/opapi/AdvanceStepKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAdvanceStepV2,已接入,src_scan,npu_advance_step_flashattn,,npu_advance_step_flashattn,npu_advance_step_flashattn,../op-plugin/op_plugin/ops/opapi/AdvanceStepKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAffineGrid,已接入,src_scan,,,,OPS_ERROR,../op-plugin/op_plugin/ops/opapi/AffineGridGeneratorKernelNpuOpApi.cpp,,,True,src_only;src_hit_but_op_name_unresolved
all,aclnnAll,已接入,src_scan,all;all.all_out;all.dim;all.out,,all;all.all_out;all.dim;all.out,all;all_out,../op-plugin/op_plugin/ops/opapi/AllKernelNpuOpApi.cpp,all_version,all;all.all_out;all.dim;all.out,False,shared_by_4_ops;src_only
all,aclnnAllGatherMatmul,已接入,src_scan,npu_all_gather_base_mm,,npu_all_gather_base_mm,npu_all_gather_base_mm,../op-plugin/op_plugin/ops/opapi/AllGatherBaseMatmulKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAllGatherMatmulV2,已接入,src_scan,npu_all_gather_base_mm,,npu_all_gather_base_mm,npu_all_gather_base_mm,../op-plugin/op_plugin/ops/opapi/AllGatherBaseMatmulKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAlltoAllAllGatherBatchMatMul,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnAlltoAllvGroupedMatMul,已接入,src_scan,,,,options,../op-plugin/op_plugin/ops/opapi/AllToAllvGmmNpuOpApi.cpp;../op-plugin/op_plugin/ops/opapi/GmmAllToAllvNpuOpApi.cpp,,,True,src_only;src_hit_but_op_name_unresolved
all,aclnnAmax,已接入,yaml_exec,amax;amax.out,amax;amax.out,,,,all_version,amax;amax.out,False,shared_by_2_ops;yaml_only
all,aclnnAmin,已接入,yaml_exec,amin;amin.out,amin;amin.out,,,,all_version,amin;amin.out,False,shared_by_2_ops;yaml_only
all,aclnnAminmax,已接入,src_scan,aminmax.out,,aminmax.out,aminmax_out,../op-plugin/op_plugin/ops/opapi/AminmaxKernelNpuOpApi.cpp,all_version,aminmax.out,False,src_only
all,aclnnAminmaxAll,已接入,yaml_exec,_aminmax,_aminmax,,,,all_version,,True,yaml_only
all,aclnnAminmaxDim,已接入,yaml_exec,_aminmax.dim,_aminmax.dim,,,,all_version,,True,yaml_only
all,aclnnAny,已接入,src_scan,any;any.all_out;any.dim;any.out,,any;any.all_out;any.dim;any.out,any;any_out,../op-plugin/op_plugin/ops/opapi/AnyKernelNpuOpApi.cpp,all_version,any;any.all_out;any.dim;any.out,False,shared_by_4_ops;src_only
all,aclnnApplyAdamW,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnApplyAdamWQuant,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnApplyAdamWV2,已接入,src_scan,,,,size,../op-plugin/op_plugin/ops/opapi/FusedAdamWKernelNpuOpApi.cpp;../op-plugin/op_plugin/ops/opapi/MatmulReduceScatterBaseKernelNpuOpApi.cpp,,,True,src_only;src_hit_but_op_name_unresolved
all,aclnnApplyFusedEmaAdam,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnApplyRotaryPosEmb,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnApplyRotaryPosEmbV2,已接入,src_scan,npu_apply_rotary_pos_emb,,npu_apply_rotary_pos_emb,npu_apply_rotary_pos_emb,../op-plugin/op_plugin/ops/opapi/ApplyRotaryPosEmbNpuOpApi.cpp,all_version,,True,src_only
all,aclnnApplyTopKTopP,已接入,yaml_exec,npu_top_k_top_p,npu_top_k_top_p,,,,all_version,,True,yaml_only
all,aclnnArange,已接入,src_scan,arange;arange.out;arange.start;arange.start_out;arange.start_step,,arange;arange.out;arange.start;arange.start_out;arange.start_step,arange;arange_out;arange_out_op_api,../op-plugin/op_plugin/ops/opapi/ArangeKernelNpuOpApi.cpp,all_version,arange;arange.out;arange.start;arange.start_out;arange.start_step,False,shared_by_5_ops;src_only
all,aclnnArgMax,已接入,src_scan,argmax.out,,argmax.out,argmax_exec;argmax_out,../op-plugin/op_plugin/ops/opapi/ArgmaxKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnArgMin,已接入,src_scan,argmin;argmin.out,,argmin;argmin.out,argmin;argmin_exec;argmin_out,../op-plugin/op_plugin/ops/opapi/ArgminKernelNpuOpApi.cpp,all_version,,True,shared_by_2_ops;src_only
all,aclnnArgsort,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnAscendAntiQuant,已接入,src_scan,npu_anti_quant,,npu_anti_quant,npu_anti_quant,../op-plugin/op_plugin/ops/opapi/AntiQuantKernelNpuOpApi.cpp,"['v2.1', 'newest']",,True,src_only
all,aclnnAscendQuant,已接入,src_scan,npu_quantize,,npu_quantize,npu_quantize,../op-plugin/op_plugin/ops/opapi/QuantizeKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAscendQuantV3,已接入,src_scan,npu_quantize,,npu_quantize,npu_quantize,../op-plugin/op_plugin/ops/opapi/QuantizeKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAsin,已接入,yaml_exec,asin;asin.out,asin;asin.out,,,,all_version,asin;asin.out,False,shared_by_2_ops;yaml_only
all,aclnnAsinh,已接入,yaml_exec,asinh;asinh.out,asinh;asinh.out,,,,all_version,asinh;asinh.out,False,shared_by_2_ops;yaml_only
all,aclnnAtan,已接入,yaml_exec,atan;atan.out,atan;atan.out,,,,all_version,atan;atan.out,False,shared_by_2_ops;yaml_only
all,aclnnAtan2,已接入,src_scan,atan2;atan2.out,,atan2;atan2.out,atan2;atan2_out,../op-plugin/op_plugin/ops/opapi/Atan2KernelNpuOpApi.cpp,all_version,atan2;atan2.out,False,shared_by_2_ops;src_only
all,aclnnAtanh,已接入,yaml_exec,atanh;atanh.out,atanh;atanh.out,,,,all_version,atanh;atanh.out,False,shared_by_2_ops;yaml_only
all,aclnnAttentionUpdate,已接入,src_scan,npu_attention_update,,npu_attention_update,npu_attention_update,../op-plugin/op_plugin/ops/opapi/AttentionUpdateKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnAvgPool2d,已接入,src_scan,avg_pool2d;avg_pool2d.out,,avg_pool2d;avg_pool2d.out,avg_pool2d;avg_pool2d_out;avg_pool2d_out_npu_nocheck_opapi,../op-plugin/op_plugin/ops/opapi/AvgPool2dKernelNpuOpApi.cpp,all_version,avg_pool2d;avg_pool2d.out,False,shared_by_2_ops;src_only
all,aclnnAvgPool2dBackward,已接入,src_scan,avg_pool2d_backward;avg_pool2d_backward.grad_input,,avg_pool2d_backward;avg_pool2d_backward.grad_input,avg_pool2d_backward;avg_pool2d_backward_out;avg_pool2d_backward_out_npu_nocheck_api,../op-plugin/op_plugin/ops/opapi/AvgPool2dBackwardKernelNpuOpApi.cpp,all_version,avg_pool2d_backward;avg_pool2d_backward.grad_input,False,shared_by_2_ops;src_only
all,aclnnAvgPool3d,已接入,src_scan,avg_pool3d;avg_pool3d.out,,avg_pool3d;avg_pool3d.out,avg_pool3d;avg_pool3d_out;avg_pool3d_out_npu_nocheck_opapi,../op-plugin/op_plugin/ops/opapi/AvgPool3dKernelNpuOpApi.cpp,all_version,avg_pool3d;avg_pool3d.out,False,shared_by_2_ops;src_only
all,aclnnAvgPool3dBackward,已接入,src_scan,avg_pool3d_backward;avg_pool3d_backward.grad_input,,avg_pool3d_backward;avg_pool3d_backward.grad_input,avg_pool3d_backward;avg_pool3d_backward_out;avg_pool3d_backward_out_npu_nocheck_api,../op-plugin/op_plugin/ops/opapi/AvgPool3dBackwardKernelNpuOpApi.cpp,all_version,avg_pool3d_backward;avg_pool3d_backward.grad_input,False,shared_by_2_ops;src_only
all,aclnnBackgroundReplace,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBaddbmm,已接入,src_scan,baddbmm;baddbmm.out;baddbmm_,,baddbmm;baddbmm.out;baddbmm_,baddbmm;baddbmm_;baddbmm_out,../op-plugin/op_plugin/ops/opapi/BaddbmmKernelNpuOpApi.cpp,all_version,baddbmm;baddbmm.out,False,shared_by_3_ops;src_only
all,aclnnBatchMatMul,已接入,src_scan,affine_grid_generator_backward;bmm;bmm.out,,affine_grid_generator_backward;bmm;bmm.out,affine_grid_generator_backward;bmm;bmm_out,../op-plugin/op_plugin/ops/opapi/AffineGridGeneratorBackwardKernelNpuOpApi.cpp;../op-plugin/op_plugin/ops/opapi/BmmKernelNpuOpApi.cpp,"['v2.1', 'newest'];all_version",,True,shared_by_3_ops;src_only
all,aclnnBatchMatMulReduceScatterAlltoAll,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBatchMatMulWeightNz,已接入,src_scan,bmm;bmm.out,,bmm;bmm.out,bmm;bmm_out,../op-plugin/op_plugin/ops/opapi/BmmKernelNpuOpApi.cpp,all_version,,True,shared_by_2_ops;src_only
all,aclnnBatchMatmulQuant,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBatchNorm,已接入,yaml_exec,native_batch_norm;native_batch_norm.out,native_batch_norm;native_batch_norm.out,,,,all_version,,True,shared_by_2_ops;yaml_only
all,aclnnBatchNormBackward,已接入,src_scan,native_batch_norm_backward,,native_batch_norm_backward,native_batch_norm_backward,../op-plugin/op_plugin/ops/opapi/BatchNormBackwardKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnBatchNormElemt,已接入,src_scan,batch_norm_elemt;batch_norm_elemt.out,,batch_norm_elemt;batch_norm_elemt.out,batch_norm_elemt;batch_norm_elemt_out,../op-plugin/op_plugin/ops/opapi/BatchNormElemtKernelNpuOpApi.cpp,all_version,batch_norm_elemt;batch_norm_elemt.out,False,shared_by_2_ops;src_only
all,aclnnBatchNormElemtBackward,已接入,yaml_exec,batch_norm_backward_elemt,batch_norm_backward_elemt,,,,all_version,,True,yaml_only
all,aclnnBatchNormGatherStatsWithCounts,已接入,yaml_exec,batch_norm_gather_stats_with_counts,batch_norm_gather_stats_with_counts,,,,all_version,batch_norm_gather_stats_with_counts,False,yaml_only
all,aclnnBatchNormReduce,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBatchNormReduceBackward,已接入,src_scan,batch_norm_backward_reduce,,batch_norm_backward_reduce,batch_norm_backward_reduce,../op-plugin/op_plugin/ops/opapi/BatchNormBackwardReduceKernelNpuOpApi.cpp,all_version,,True,src_only
all,aclnnBatchNormStats,已接入,yaml_exec,batch_norm_stats,batch_norm_stats,,,,all_version,batch_norm_stats,False,yaml_only
all,aclnnBernoulli,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBernoulliTensor,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBidirectionLSTM,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBidirectionLSTMV2,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBinaryCrossEntropy,已接入,yaml_exec,binary_cross_entropy;binary_cross_entropy.out,binary_cross_entropy;binary_cross_entropy.out,,,,all_version,binary_cross_entropy;binary_cross_entropy.out,False,shared_by_2_ops;yaml_only
all,aclnnBinaryCrossEntropyBackward,已接入,yaml_exec,binary_cross_entropy_backward;binary_cross_entropy_backward.grad_input,binary_cross_entropy_backward;binary_cross_entropy_backward.grad_input,,,,all_version,binary_cross_entropy_backward;binary_cross_entropy_backward.grad_input,False,shared_by_2_ops;yaml_only
all,aclnnBinaryCrossEntropyWithLogits,已接入,yaml_exec,binary_cross_entropy_with_logits,binary_cross_entropy_with_logits,,,,all_version,binary_cross_entropy_with_logits,False,yaml_only
all,aclnnBinaryCrossEntropyWithLogitsBackward,已接入,yaml_exec,npu_binary_cross_entropy_with_logits_backward,npu_binary_cross_entropy_with_logits_backward,,,,"['v2.1', 'newest']",,True,yaml_only
all,aclnnBinaryCrossEntropyWithLogitsTargetBackward,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnBincount,已接入,src_scan,bincount,,bincount,bincount,../op-plugin/op_plugin/ops/opapi/BincountKernelNpuOpApi.cpp,all_version,bincount,False,src_only
all,aclnnBitwiseAndScalar,已接入,src_scan,bitwise_and.Scalar;bitwise_and.Scalar_out;bitwise_and.Tensor;bitwise_and.Tensor_out,,bitwise_and.Scalar;bitwise_and.Scalar_out;bitwise_and.Tensor;bitwise_and.Tensor_out,bitwise_and;bitwise_and_op_api_out_npu_nocheck;bitwise_and_out,../op-plugin/op_plugin/ops/opapi/BitwiseAndKernelNpuOpApi.cpp,all_version,,True,shared_by_4_ops;src_only
all,aclnnBitwiseAndTensor,已接入,src_scan,bitwise_and.Scalar;bitwise_and.Scalar_out;bitwise_and.Tensor;bitwise_and.Tensor_out,,bitwise_and.Scalar;bitwise_and.Scalar_out;bitwise_and.Tensor;bitwise_and.Tensor_out,bitwise_and;bitwise_and_op_api_out_npu_nocheck;bitwise_and_out,../op-plugin/op_plugin/ops/opapi/BitwiseAndKernelNpuOpApi.cpp,all_version,,True,shared_by_4_ops;src_only
all,aclnnBitwiseNot,已接入,yaml_exec,bitwise_not;bitwise_not.out;bitwise_not_,bitwise_not;bitwise_not.out;bitwise_not_,,,,all_version,bitwise_not;bitwise_not.out,False,shared_by_3_ops;yaml_only
all,aclnnBitwiseOrScalar,已接入,src_scan,bitwise_or.Scalar;bitwise_or.Scalar_out;bitwise_or.Tensor;bitwise_or.Tensor_out,,bitwise_or.Scalar;bitwise_or.Scalar_out;bitwise_or.Tensor;bitwise_or.Tensor_out,bitwise_or;bitwise_or_out;bitwise_or_out_nocheck,../op-plugin/op_plugin/ops/opapi/BitwiseOrKernelNpuOpApi.cpp,all_version,,True,shared_by_4_ops;src_only
all,aclnnBitwiseOrTensor,已接入,src_scan,bitwise_or.Scalar;bitwise_or.Scalar_out;bitwise_or.Tensor;bitwise_or.Tensor_out,,bitwise_or.Scalar;bitwise_or.Scalar_out;bitwise_or.Tensor;bitwise_or.Tensor_out,bitwise_or;bitwise_or_out;bitwise_or_out_nocheck,../op-plugin/op_plugin/ops/opapi/BitwiseOrKernelNpuOpApi.cpp,all_version,,True,shared_by_4_ops;src_only
all,aclnnBitwiseXorScalar,已接入,src_scan,bitwise_xor.Scalar;bitwise_xor.Scalar_out;bitwise_xor.Tensor;bitwise_xor.Tensor_out,,bitwise_xor.Scalar;bitwise_xor.Scalar_out;bitwise_xor.Tensor;bitwise_xor.Tensor_out,bitwise_xor;bitwise_xor_out;bitwise_xor_out_nocheck,../op-plugin/op_plugin/ops/opapi/BitwiseXorKernelNpuOpApi.cpp,all_version,,True,shared_by_4_ops;src_only
all,aclnnBitwiseXorTensor,已接入,src_scan,bitwise_xor.Scalar;bitwise_xor.Scalar_out;bitwise_xor.Tensor;bitwise_xor.Tensor_out,,bitwise_xor.Scalar;bitwise_xor.Scalar_out;bitwise_xor.Tensor;bitwise_xor.Tensor_out,bitwise_xor;bitwise_xor_out;bitwise_xor_out_nocheck,../op-plugin/op_plugin/ops/opapi/BitwiseXorKernelNpuOpApi.cpp,all_version,,True,shared_by_4_ops;src_only
all,aclnnBlendImagesCustom,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnCalculateConvolutionWeightSize,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnCalculateMatmulWeightSize,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnCalculateMatmulWeightSizeV2,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnCast,已接入,src_scan,_npu_dtype_cast;npu_dtype_cast,,_npu_dtype_cast;npu_dtype_cast,_npu_dtype_cast;npu_dtype_cast;npu_dtype_cast_impl_op_api,../op-plugin/op_plugin/ops/opapi/CastKernelNpuOpApi.cpp,all_version,,True,shared_by_2_ops;src_only
all,aclnnCat,已接入,src_scan,cat;cat.names;cat.names_out;cat.out,,cat;cat.names;cat.names_out;cat.out,cat;cat_out,../op-plugin/op_plugin/ops/opapi/CatKernelNpuOpApi.cpp,all_version,cat;cat.names;cat.names_out;cat.out,False,shared_by_4_ops;src_only
all,aclnnCeil,已接入,yaml_exec,ceil;ceil.out,ceil;ceil.out,,,,all_version,ceil;ceil.out,False,shared_by_2_ops;yaml_only
all,aclnnCelu,已接入,yaml_exec,celu,celu,,,,all_version,celu,False,yaml_only
all,aclnnChamferDistanceBackward,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnChannelShuffle,已接入,yaml_exec,channel_shuffle,channel_shuffle,,,,all_version,channel_shuffle,False,yaml_only
all,aclnnCircularPad2d,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnCircularPad2dBackward,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnCircularPad3d,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnCircularPad3dBackward,未接入,,,,,,,,,False,no_yaml_exec_and_no_src_scan_hit
all,aclnnClamp,已接入,yaml_exec,clamp;clamp.out;clamp_,clamp;clamp.out;clamp_,,,,all_version,clamp;clamp.out,False,shared_by_3_ops;yaml_only
all,aclnnClampMax,已接入,yaml_exec,clamp_max;clamp_max.out,clamp_max;clamp_max.out,,,,all_version,clamp_max;clamp_max.out,False,shared_by_2_ops;yaml_only
all,aclnnClampMaxTensor,已接入,yaml_exec,clamp_max.Tensor;clamp_max.Tensor_out,clamp_max.Tensor;clamp_max.Tensor_out,,,,all_version,,True,shared_by_2_ops;yaml_only
all,aclnnClampMin,已接入,yaml_exec,clamp_min;clamp_min.out;clamp_min_,clamp_min;clamp_min.out;clamp_min_,,,,all_version,clamp_min;clamp_min.out,False,shared_by_3_ops;yaml_only
all,aclnnClampMinTensor,已接入,yaml_exec,clamp_min.Tensor;clamp_min.Tensor_out,clamp_min.Tensor;clamp_min.Tensor_out,,,,all_version,,True,shared_by_2_ops;yaml_only
all,aclnnClampTensor,已接入,yaml_exec,clamp.Tensor;clamp.Tensor_out;clamp_.Tensor,clamp.Tensor;clamp.Tensor_out;clamp_.Tensor,,,,all_version,,True,shared_by_3_ops;yaml_only
all,aclnnClippedSwiglu,已接入,yaml_exec,npu_clipped_swiglu,npu_clipped_swiglu,,,,"['v2.6', 'newest']",,True,yaml_only
all,aclnnComplex,已接入,src_scan,complex;complex.out,,complex;complex.out,complex;complex_out,../op-plugin/op_plugin/ops/opapi/ComplexKernelNpuOpApi.cpp,all_version,complex;complex.out,False,shared_by_2_ops;src_only
all,aclnnConstantPadNd,已接入,src_scan,constant_pad_nd,,constant_pad_nd,constant_pad_nd,../op-plugin/op_plugin/ops/opapi/ConstantPadNdKernelNpuOpApi.cpp,"['v2.1', 'newest']",constant_pad_nd,False,src_only
